[2024-10-02T22:21:48.282+0300] {triggerer_job_runner.py:181} INFO - Setting up TriggererHandlerWrapper with handler <FileTaskHandler (NOTSET)>
[2024-10-02T22:21:48.284+0300] {triggerer_job_runner.py:237} INFO - Setting up logging queue listener with handlers [<RedirectStdHandler <stdout> (NOTSET)>, <NonCachingFileHandler /home/hamsterhom220/MLOps/Assign1/services/airflow/logs/triggerer.log (NOTSET)>, <TriggererHandlerWrapper (NOTSET)>]
[2024-10-02T22:21:48.294+0300] {triggerer_job_runner.py:338} INFO - Starting the triggerer
[2024-10-03T00:48:54.854+0300] {triggerer_job_runner.py:605} INFO - Triggerer's async thread was blocked for 0.29 seconds, likely by a badly-written trigger. Set PYTHONASYNCIODEBUG=1 to get more information on overrunning coroutines.
[2024-10-03T00:48:55.111+0300] {triggerer_job_runner.py:605} INFO - Triggerer's async thread was blocked for 0.26 seconds, likely by a badly-written trigger. Set PYTHONASYNCIODEBUG=1 to get more information on overrunning coroutines.
[2024-10-03T00:48:56.187+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:49:56.253+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:50:56.320+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:51:27.646+0300] {triggerer_job_runner.py:605} INFO - Triggerer's async thread was blocked for 1.50 seconds, likely by a badly-written trigger. Set PYTHONASYNCIODEBUG=1 to get more information on overrunning coroutines.
[2024-10-03T00:51:56.680+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:52:56.744+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:53:56.807+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:54:38.365+0300] {triggerer_job_runner.py:605} INFO - Triggerer's async thread was blocked for 0.24 seconds, likely by a badly-written trigger. Set PYTHONASYNCIODEBUG=1 to get more information on overrunning coroutines.
[2024-10-03T00:54:38.726+0300] {triggerer_job_runner.py:605} INFO - Triggerer's async thread was blocked for 0.24 seconds, likely by a badly-written trigger. Set PYTHONASYNCIODEBUG=1 to get more information on overrunning coroutines.
[2024-10-03T00:54:39.235+0300] {triggerer_job_runner.py:605} INFO - Triggerer's async thread was blocked for 0.21 seconds, likely by a badly-written trigger. Set PYTHONASYNCIODEBUG=1 to get more information on overrunning coroutines.
[2024-10-03T00:54:39.503+0300] {triggerer_job_runner.py:605} INFO - Triggerer's async thread was blocked for 0.27 seconds, likely by a badly-written trigger. Set PYTHONASYNCIODEBUG=1 to get more information on overrunning coroutines.
[2024-10-03T00:54:56.868+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:54:59.633+0300] {triggerer_job_runner.py:605} INFO - Triggerer's async thread was blocked for 0.21 seconds, likely by a badly-written trigger. Set PYTHONASYNCIODEBUG=1 to get more information on overrunning coroutines.
[2024-10-03T00:55:56.941+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-03T00:56:57.009+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
